Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04512:ECM-receptor interaction	11	1.5558698727015559	0.0016012969580500643	TNXB, SDC4, LAMB3, COL4A1, COL6A2, ITGA1, TNC, ITGAV, LAMC2, AGRN, THBS1	326	58	5610	3.263697905648403	0.3747202056544182	0.010911162993224857	0.0089747108579085
KEGG_PATHWAY	hsa04148:Efferocytosis	17	2.4045261669024045	0.002327275793971674	DUSP4, LRP1, SPHK1, ATP2A3, SLC2A1, ANO9, NFATC1, PTGS2, DUSP8, MERTK, THBS1, CX3CL1, PANX1, P2RY6, CASP1, ITGAV, PPARG	326	126	5610	2.321793748174116	0.4947422157187288	0.015497541082584103	0.012747124235163033
KEGG_PATHWAY	hsa04936:Alcoholic liver disease	15	2.1216407355021216	0.0027256333630146876	MAP2K3, CXCL8, PRKAA2, CXCL1, CXCL3, CXCL2, TNF, FOXO1, NFKB1, NFKBIA, IL6, IL1B, NOX4, IKBKE, MAP2K6	326	105	5610	2.458369851007888	0.5505366290738916	0.01738858753450268	0.014302558347491964
KEGG_PATHWAY	hsa05142:Chagas disease	13	1.8387553041018387	0.002729948896201786	CXCL8, IFNGR2, SERPINE1, PIK3CD, FOS, TNF, TGFBR1, NFKB1, NFKBIA, IL6, IL1B, CCL5, CCL2	326	83	5610	2.695321161948407	0.5511061469693026	0.01738858753450268	0.014302558347491964
KEGG_PATHWAY	hsa04151:PI3K-Akt signaling pathway	26	3.6775106082036775	0.003561451407410721	TNXB, PRKAA2, CSF1, TNC, PIK3CD, LAMC2, THBS1, PIK3CG, FGF5, ITGAV, IL6R, PCK2, IFNAR2, LAMB3, NOS3, BDNF, ITGA1, NFKB1, EFNA1, CREB3, IL6, COL4A1, COL6A2, DDIT4, IL3RA, CREB5	326	244	5610	1.8337021019812934	0.6484375381800472	0.021790934345244557	0.017923601287385453
KEGG_PATHWAY	hsa04010:MAPK signaling pathway	25	3.536067892503536	0.003569845899562248	CSF1, TNF, RELB, RASGRP3, FGF5, RPS6KA2, MAP3K8, MAP2K6, MAP2K3, DUSP4, MEF2C, MAP3K1, BDNF, PLA2G4C, PLA2G4A, NFATC1, FOS, DUSP8, TGFBR1, NFKB1, NFKB2, EFNA1, IL1A, IL1B, DDIT3	326	231	5610	1.862401402278703	0.6493042604592651	0.021790934345244557	0.017923601287385453
KEGG_PATHWAY	hsa04940:Type I diabetes mellitus	6	0.8486562942008486	0.0037473006709725916	IL1A, IL1B, HLA-B, HLA-A, HLA-F, TNF	326	19	5610	5.4342912495963835	0.6671360535767632	0.02240732850193815	0.018430601259273358
KEGG_PATHWAY	hsa05145:Toxoplasmosis	13	1.8387553041018387	0.004061532163074604	MAP2K3, CD40, LAMB3, IFNGR2, LAMC2, TNF, PIK3CG, NFKB1, NFKBIA, SOCS1, BIRC2, MAP2K6, BIRC3	326	87	5610	2.571398349904802	0.6965238205556005	0.02380057847561718	0.019576585026019593
KEGG_PATHWAY	hsa05202:Transcriptional misregulation in cancer	17	2.4045261669024045	0.005406589276183376	MEF2C, CD40, SLC45A3, CXCL8, CSF2, BCL2A1, ETV1, TRAF1, MMP9, FOXO1, NFKB1, IL6, DDIT3, NFKBIZ, PPARG, BIRC2, BIRC3	326	137	5610	2.1353723523353185	0.7957536729549817	0.031061385449445672	0.025548784618827328
KEGG_PATHWAY	hsa05330:Allograft rejection	5	0.7072135785007072	0.0069612096379573435	CD40, HLA-B, HLA-A, HLA-F, TNF	326	14	5610	6.145924627519719	0.8708481847440289	0.039223738921567344	0.03226252928361
KEGG_PATHWAY	hsa04623:Cytosolic DNA-sensing pathway	10	1.4144271570014144	0.007891978864029977	NFKBIA, CXCL10, IL6, CCL5, IL1B, IRF7, CASP1, IKBKE, NFKB1, RIGI	326	61	5610	2.8210801568942974	0.901875932682588	0.04362924164454308	0.03588616804209858
KEGG_PATHWAY	hsa05135:Yersinia infection	15	2.1216407355021216	0.008448552728637506	MAP2K3, CXCL8, ARHGEF28, PIK3CD, NFATC1, FOS, TNF, NFKB1, NFKBIA, IL6, IL1B, RPS6KA2, CASP1, CCL2, MAP2K6	326	119	5610	2.1691498685363713	0.9167529099908178	0.04584122128686646	0.037705577918548866
KEGG_PATHWAY	hsa05222:Small cell lung cancer	12	1.6973125884016973	0.00863405332983462	NFKBIA, LAMB3, COL4A1, RARB, PIK3CD, ITGAV, LAMC2, TRAF1, PTGS2, NFKB1, BIRC2, BIRC3	326	84	5610	2.458369851007888	0.9211936747246369	0.04599595682984625	0.037832851863457154
